niteid wstart wend conv participant nxt_agent mean.normF0 sd.normF0 max.normF0 min.normF0 median.normF0 q1.normF0 q2.5.normF0 q5.normF0 q25.normF0 q75.normF0 q95.normF0 q97.5.normF0 q99.normF0 slope.normF0 intercept.normF0 mean.normF0.slope sd.normF0.slope max.normF0.slope min.normF0.slope median.normF0.slope q1.normF0.slope q2.5.normF0.slope q5.normF0.slope q25.normF0.slope q75.normF0.slope q95.normF0.slope q97.5.normF0.slope q99.normF0.slope slope.normF0.slope intercept.normF0.slope
EvaVertes_2005.EV.words38 29.16 29.3 EvaVertes_2005 EV EV -4.21216318647705 0.38491675339994 -3.75906754816074 -4.80982616216701 -4.13667498766118 -4.7943588526894 -4.77115788847299 -4.7499560418596 -4.58307953516859 -3.83672307447378 -3.77407883084164 -3.76720841204686 -3.76232389371519 -0.883099511507149 21.601015759267 0.210935309877615 0.383435629620114 0.661020875328038 -0.366368961231892 0.268363071498179 -0.363053416026379 -0.35808009821811 -0.336292522125836 -0.167780734926661 0.590497311868441 0.658952905970446 0.660706200893224 0.660895005554113 -0.293125229793751 8.77904559822442
EvaVertes_2005.EV.words39 29.3 29.53 EvaVertes_2005 EV EV -5.14115266848219 0.545794181120818 -4.40590959637992 -6.20351393958606 -5.13116069694613 -6.15271665029345 -6.08232187812296 -6.02928969006604 -5.63382011381918 -4.63439493962665 -4.49172777430332 -4.48608636472045 -4.44104089354729 -7.44587906819288 213.871022503049 -0.609691548955668 0.509905298281276 0.065350065828909 -1.63292187280304 -0.608729796017263 -1.58080015144944 -1.50865220420107 -1.45588435935242 -1.03613739124319 -0.132493271686482 -0.0181882931968232 0.014717788017732 0.0446471443688191 -6.85590478647946 201.049052342006
EvaVertes_2005.EV.words40 29.53 30.11 EvaVertes_2005 EV EV -6.7013468780167 2.513159099922 -3.3351323610384 -10.3936743608146 -5.48789004805325 -10.3741633567712 -10.3551597400476 -10.3308226868842 -9.92958553297631 -4.7077534567926 -3.6976094209186 -3.57449650999147 -3.45610551553348 -19.7591114744488 580.287416659508 -1.9968065687018 2.46340471421404 1.36489283897766 -5.6334477034808 -0.866126742550184 -5.61185974915994 -5.5897407070202 -5.56021127816311 -5.16183369347784 -0.0566419408471623 0.998803691658401 1.12033631433095 1.24184273420513 -19.1691371927353 567.465446498465
EvaVertes_2005.EV.words42 30.88 31.22 EvaVertes_2005 EV EV 1.57190219879194 2.55037464357522 4.36793445419121 -3.48035671663672 3.02704921722089 -3.44002903771945 -3.35155404255298 -3.07849647046362 -0.635678021358991 3.62935952869017 4.06433762588851 4.17729986911985 4.27842391811184 26.7523668704681 -829.684192800443 0.788291998595843 2.72252157714433 3.73553534989139 -4.57198951958449 2.29504236916114 -4.52527737217382 -4.44150672221302 -4.15276799943811 -1.57889993389005 2.967776097656 3.46386086405568 3.56086193605352 3.65240928230541 28.9477279664436 -898.682600614243
EvaVertes_2005.EV.words43 31.22 31.62 EvaVertes_2005 EV EV 0.820268164922508 0.958266665344562 2.98540105254588 -0.538702477580457 0.753027829431092 -0.517965008515848 -0.506975725598937 -0.475412716640954 0.256067279387021 1.27374058004789 2.65632167195064 2.82164221003206 2.92005221022779 -6.69494825236682 211.170076990408 0.798313855166905 0.767965652206069 2.53221509893794 -0.410932623539298 0.727200598985552 -0.374786863659439 -0.346599698297188 -0.332111982541227 0.415314155188928 1.20202269584612 2.24625888272793 2.39001783861674 2.47549088949689 -4.49958715639137 142.171669176611
EvaVertes_2005.EV.words44 31.62 32.56 EvaVertes_2005 EV EV -3.04086056483902 1.99786608639176 0.587602313896376 -5.44045078551566 -3.11337661342987 -5.41761094609326 -5.38340715726964 -5.32654945423365 -4.87828978278668 -1.97636203240464 0.35547317133139 0.420474061059918 0.447531330826037 -7.03406837476603 222.683111343482 -1.58990679234572 1.43034507572343 1.3889084151316 -3.19104690439293 -1.62948609006751 -3.09041881994514 -2.95829167827026 -2.95279491365949 -2.9154602743496 -1.02164403737181 1.0313300670823 1.14785473763474 1.22785953125179 -4.83870727879048 153.684703529681
EvaVertes_2005.EV.words45 32.56 33.02 EvaVertes_2005 EV EV -1.89606326990233 1.97301459231959 0.748981422081328 -5.61523070837965 -1.12538631397491 -5.59291230979067 -5.57481299138169 -5.54698259132162 -3.74131909694295 -0.626078659938672 0.593501900985624 0.66468817170419 0.71422580272621 10.0610295168675 -331.813647298626 1.09500351634933 2.18248249473874 3.62243957819145 -2.98819063447088 2.21712597809528 -2.97584096738913 -2.972694746241 -2.96978617494903 -1.00787121481087 2.45920968771295 3.51011366772489 3.53818623670195 3.59765269034356 12.256390612843 -400.812055112426
EvaVertes_2005.EV.words46 33.02 33.33 EvaVertes_2005 EV EV -1.79293979479641 1.17483983449362 -0.0104091291106789 -4.42980679309718 -1.67592841914238 -4.03639594741888 -3.75417056953007 -3.72896209827549 -2.61785446468063 -0.830809636139416 -0.203308887326199 -0.165216373768437 -0.0846366620653057 -0.711874349089849 21.824799260574 2.04378904628257 1.18073961073381 3.904725465396 -0.873098499974252 2.20181073587978 -0.462466370522981 -0.0779545715395948 0.0432427620831923 1.3181558104428 3.02562250457292 3.62280748350929 3.73311698786088 3.82377743929043 1.4834867468857 -47.1736085532266
EvaVertes_2005.EV.words47 33.33 33.46 EvaVertes_2005 EV EV -3.99229539887116 0.336975763934875 -3.60437860142139 -4.67738299941246 -3.98442500740587 -4.64981415856263 -4.60846089728788 -4.5391903922843 -4.24413642060536 -3.67470960713128 -3.6146275113527 -3.60572442461779 -3.60491693069995 -8.57779027611429 282.47351428863 0.326068784692253 0.259314145689694 0.635579828714307 -0.224608952830139 0.333939176157548 -0.199728309240689 -0.162407343856515 -0.0998573320038762 0.138773691506948 0.570905789863964 0.617479032260154 0.627513512366964 0.63235330217537 -6.3824291801385 213.475106474822
EvaVertes_2005.EV.words48 33.46 33.62 EvaVertes_2005 EV EV -3.92349590570846 0.726969759703235 -2.50015864887141 -6.07279008842387 -3.83750318063884 -5.80525077935056 -5.40394181574059 -4.99104203229345 -4.22576827522013 -3.58620487843703 -2.63584716462274 -2.56062380910153 -2.52434471296346 1.59743802496089 -57.500100227976 0.708491291565748 0.74427773960042 2.19903347991225 -1.27279056237601 0.811187058824552 -1.00861149987818 -0.612342906131437 -0.359054835019252 0.366400097078212 1.00332335676641 2.06334496416092 2.13016770324344 2.17148716924473 3.79279912093651 -126.498508041779
EvaVertes_2005.EV.words49 33.62 34.04 EvaVertes_2005 EV EV -6.21391776945537 1.64820954381709 -4.07126839097727 -10.4038546765175 -5.59617360179964 -10.0396858372103 -9.53498632719464 -9.22384613219714 -7.01459912369335 -5.15201561774556 -4.3140155342024 -4.26813089298377 -4.18914024673512 -13.5076303950394 450.093133589825 -1.04989153106464 1.49160592144289 0.896743463844215 -4.88700254770212 -0.489887534544813 -4.52989022620341 -4.0357754929005 -3.74227659242423 -1.90937720037339 -0.0154197049265536 0.663975259105479 0.739923900195434 0.800041161511844 -11.3122692990638 381.094725776023
