niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
HelenFisher_2006.HF.words14 21.85 22.15 HelenFisher_2006 HF HF 2.40402709112413 8.72338465547896 15.5879334901903 -22.6670720849924 3.91085666060615 -21.8562930659136 -20.6187183960838 -18.8489870453508 2.29866335121127 6.91870175180883 13.684765493872 15.2295103525993 15.5349012398558 20.0561465414126 -438.839155608263 2.40402709112413 8.72338465547896 15.5879334901903 -22.6670720849924 3.91085666060615 -21.8562930659136 -20.6187183960838 -18.8489870453508 2.29866335121127 6.91870175180883 13.684765493872 15.2295103525993 15.5349012398558 20.0561465414126 -438.839155608263
HelenFisher_2006.HF.words15 22.15 22.65 HelenFisher_2006 HF HF 2.39916028393714 8.94206917364967 15.9122875832413 -15.9901827341048 3.39651221089998 -15.6262284265191 -15.2275383483076 -14.1541745982307 -3.7519202716054 10.2011812075706 14.2675502711337 15.5050081214196 15.7778926559166 28.8295195351025 -643.027428450936 2.39916028393714 8.94206917364967 15.9122875832413 -15.9901827341048 3.39651221089998 -15.6262284265191 -15.2275383483076 -14.1541745982307 -3.7519202716054 10.2011812075706 14.2675502711337 15.5050081214196 15.7778926559166 28.8295195351025 -643.027428450936
HelenFisher_2006.HF.words16 22.65 22.96 HelenFisher_2006 HF HF 1.45340957049794 7.12702989629738 8.76794971092384 -20.6938634152293 2.79809988830442 -20.1859107894604 -19.3769503258363 -16.134699200445 2.26775039176062 4.97299325688252 8.60304664302662 8.63477086688233 8.71364030019096 -61.4489445832128 1403.55566598846 1.45340957049794 7.12702989629738 8.76794971092384 -20.6938634152293 2.79809988830442 -20.1859107894604 -19.3769503258363 -16.134699200445 2.26775039176062 4.97299325688252 8.60304664302662 8.63477086688233 8.71364030019096 -61.4489445832128 1403.55566598846
HelenFisher_2006.HF.words17 22.96 23.32 HelenFisher_2006 HF HF -4.74493566416509 13.3477967480511 13.9903398578036 -23.0567489552845 -8.39933262648714 -23.0259341459834 -22.7743442153627 -22.2746396188525 -16.1222147871203 11.2428614217352 13.8592919887266 13.9368077421717 13.9657834147923 39.3071100497789 -914.313113775296 -4.74493566416509 13.3477967480511 13.9903398578036 -23.0567489552845 -8.39933262648714 -23.0259341459834 -22.7743442153627 -22.2746396188525 -16.1222147871203 11.2428614217352 13.8592919887266 13.9368077421717 13.9657834147923 39.3071100497789 -914.313113775296
HelenFisher_2006.HF.words18 23.32 23.41 HelenFisher_2006 HF HF -0.37531517979351 2.67109253665261 1.59712160385227 -7.43489735218234 0.584169151344597 -7.08525686834037 -6.5607961425774 -5.68669493297247 -0.461505761566023 1.24083987606084 1.54941593580964 1.57326876983096 1.58758047024375 65.8604113346388 -1539.22042947867 -0.37531517979351 2.67109253665261 1.59712160385227 -7.43489735218234 0.584169151344597 -7.08525686834037 -6.5607961425774 -5.68669493297247 -0.461505761566023 1.24083987606084 1.54941593580964 1.57326876983096 1.58758047024375 65.8604113346388 -1539.22042947867
HelenFisher_2006.HF.words19 23.41 23.49 HelenFisher_2006 HF HF 1.85173292539932 1.00816086329681 3.51274682395181 0.409150070503735 1.83097136949603 0.419407407492038 0.434793412974493 0.460436755445251 1.13800511007491 2.41673614930112 3.31726528447044 3.41500605421113 3.47365051605553 24.8016468044936 -579.729169177972 1.85173292539932 1.00816086329681 3.51274682395181 0.409150070503735 1.83097136949603 0.419407407492038 0.434793412974493 0.460436755445251 1.13800511007491 2.41673614930112 3.31726528447044 3.41500605421113 3.47365051605553 24.8016468044936 -579.729169177972
HelenFisher_2006.HF.words20 23.49 23.78 HelenFisher_2006 HF HF -5.95971235576713 10.0553596658742 8.06170487009388 -21.8551125013614 -8.48075881791259 -21.2451010065234 -20.3588806017072 -19.5075315508943 -15.5756819224797 1.99103740835882 7.88491162767803 8.03044813438743 8.05126571754122 -96.771007839229 2281.14173774975 -5.95971235576713 10.0553596658742 8.06170487009388 -21.8551125013614 -8.48075881791259 -21.2451010065234 -20.3588806017072 -19.5075315508943 -15.5756819224797 1.99103740835882 7.88491162767803 8.03044813438743 8.05126571754122 -96.771007839229 2281.14173774975
HelenFisher_2006.HF.words21.1 23.78 23.96 HelenFisher_2006 HF HF 0.791136483465989 8.30285590953649 10.1511726012357 -22.4914573879479 2.49366562101154 -21.6396158975213 -20.3618536618814 -17.0591297897101 -2.55594808072567 5.7401723933377 9.99305996898546 10.0513645501585 10.1112493808048 75.7470782605496 -1807.25024714134 0.791136483465989 8.30285590953649 10.1511726012357 -22.4914573879479 2.49366562101154 -21.6396158975213 -20.3618536618814 -17.0591297897101 -2.55594808072567 5.7401723933377 9.99305996898546 10.0513645501585 10.1112493808048 75.7470782605496 -1807.25024714134
HelenFisher_2006.HF.words21.2 23.96 24.37 HelenFisher_2006 HF HF 0.444149725672255 9.07217312766178 13.8121941375191 -16.2601600951191 -0.994867170507284 -16.248718081606 -16.0201552547141 -14.6082343482967 -6.23653002924271 9.47659024105561 13.3765842584318 13.6473024393567 13.72113884563 -11.1691299307987 270.348990250463 0.444149725672255 9.07217312766178 13.8121941375191 -16.2601600951191 -0.994867170507284 -16.248718081606 -16.0201552547141 -14.6082343482967 -6.23653002924271 9.47659024105561 13.3765842584318 13.6473024393567 13.72113884563 -11.1691299307987 270.348990250463
HelenFisher_2006.HF.words22 24.37 24.82 HelenFisher_2006 HF HF -1.18686581022586 5.50671298431693 6.28961165315685 -11.2385431151536 1.37189313447928 -10.9401984178984 -10.5523431207393 -10.0040080419639 -6.96873731524937 2.46504897918251 5.09479226284453 5.96072079360444 6.14617622735298 -37.1931508209409 913.097355502546 -1.18686581022586 5.50671298431693 6.28961165315685 -11.2385431151536 1.37189313447928 -10.9401984178984 -10.5523431207393 -10.0040080419639 -6.96873731524937 2.46504897918251 5.09479226284453 5.96072079360444 6.14617622735298 -37.1931508209409 913.097355502546
HelenFisher_2006.HF.words23 25.82 26.04 HelenFisher_2006 HF HF 1.39545299891786 9.75163244178588 16.1919363632616 -14.3080108384598 0.952239358590738 -14.2517245622589 -14.1672951479574 -14.0882914117174 -5.57721528371637 10.4815209687605 13.9843321123914 14.6709314088987 15.5835343815164 42.8859528021947 -1111.19748014239 -0.816634944653879 9.75299632238687 13.9886478481686 -16.5186795193737 -1.26552563561248 -16.4622172546032 -16.3775238574474 -16.2990168631376 -7.78731625956709 8.26474945841774 11.7794540231216 12.465443036686 13.3793659235756 42.9774952436274 -1115.7844593211
HelenFisher_2006.HF.words24 26.04 26.09 HelenFisher_2006 HF HF 15.809086786303 1.53165954468437 17.2158093705448 13.0803319633431 16.4088460068037 13.1565292011442 13.270825057846 13.4613181523489 14.9039568514829 16.9842760561551 17.1728126743693 17.194311022457 17.2072100313097 -95.2289532136475 2498.15106871373 13.6083529439942 1.53034626114847 15.013088560515 10.8815850887553 14.2081121644949 10.957742587202 11.0719788348721 11.262372580989 12.7042164930346 14.7825487299858 14.9702905611116 14.9916895608133 15.0045289606343 -95.137410772215 2493.56408953502
HelenFisher_2006.HF.words25 26.09 26.22 HelenFisher_2006 HF HF 10.1493264902139 4.83409079305724 16.6523908698106 2.63486631939799 10.2026702620285 2.64303760243025 2.65529452697864 2.67572273455928 6.00480341096986 14.9374375247292 16.6396353685675 16.6460131191891 16.649839769562 68.4907842895298 -1781.36518004364 7.9568243713208 4.83601213625275 14.4621595711701 0.438957970125969 8.01470978364055 0.447242794170856 0.459670030238186 0.480382090350404 3.80775965157154 12.7483416362149 14.4499717749901 14.4560656730801 14.4597220119341 68.5823267309624 -1785.95215922235
HelenFisher_2006.HF.words26 26.22 26.28 HelenFisher_2006 HF HF 7.69334679455429 2.61187626149223 9.26076548281753 1.48296179090544 8.90394853205105 1.80315583371355 2.28344689792571 3.08393200494598 8.03110844737527 9.11169251748631 9.22497395039345 9.24286971660549 9.25360717633271 -114.079691336559 3002.2896660727 5.50936025160837 2.6107231756498 7.07621123480846 -0.698753931787882 6.72052969416829 -0.378605305384826 0.101617634219758 0.901989200227399 5.84825731455565 6.9265705644141 7.04064678440964 7.05842900960905 7.0690983447287 -113.988148895127 2997.70268689399
