niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
AmySmith_2006.AS.words26 22.11 22.25 AmySmith_2006 AS AS -0.6899025094756 2.30925109379233 2.44029002122436 -6.4795565800054 -0.468600056260787 -6.2001445399811 -5.78102647994464 -5.17474059441025 -1.23337190283111 1.13395430274113 2.08089195167499 2.25405098397779 2.36579440632573 -21.8290426106037 483.496322592997 -0.6899025094756 2.30925109379233 2.44029002122436 -6.4795565800054 -0.468600056260787 -6.2001445399811 -5.78102647994464 -5.17474059441025 -1.23337190283111 1.13395430274113 2.08089195167499 2.25405098397779 2.36579440632573 -21.8290426106037 483.496322592997
AmySmith_2006.AS.words27 22.25 22.38 AmySmith_2006 AS AS 0.666730294882523 1.48636127969624 3.45698498250638 -1.46915606499344 0.101717649444801 -1.41490243036583 -1.33352197842442 -1.19632068933199 -0.502223772360146 1.93013870044698 3.11768356334002 3.3019002651411 3.39495109556027 -27.3734252466792 611.534254342062 0.666730294882523 1.48636127969624 3.45698498250638 -1.46915606499344 0.101717649444801 -1.41490243036583 -1.33352197842442 -1.19632068933199 -0.502223772360146 1.93013870044698 3.11768356334002 3.3019002651411 3.39495109556027 -27.3734252466792 611.534254342062
AmySmith_2006.AS.words28 22.38 22.73 AmySmith_2006 AS AS -4.29305109440111 5.3508240396518 3.29401385623991 -15.6015790232168 -2.11618381049616 -14.9910282356319 -14.5605400891579 -14.2716282124124 -6.60438076123279 -1.15006900896556 2.31421454601003 2.92083199622456 3.12968764560016 -6.03903984149793 131.917058067287 -4.29305109440111 5.3508240396518 3.29401385623991 -15.6015790232168 -2.11618381049616 -14.9910282356319 -14.5605400891579 -14.2716282124124 -6.60438076123279 -1.15006900896556 2.31421454601003 2.92083199622456 3.12968764560016 -6.03903984149793 131.917058067287
AmySmith_2006.AS.words29 22.73 22.95 AmySmith_2006 AS AS 0.65507509267775 1.52451638548425 3.20937761347805 -2.5520577319858 0.704988137932467 -2.45904281158321 -2.31952043097932 -1.74405742917618 -0.497171682713386 1.59583261863574 2.9597743671253 3.11235850848133 3.17056997147936 -18.5506485010525 424.135017764528 0.65507509267775 1.52451638548425 3.20937761347805 -2.5520577319858 0.704988137932467 -2.45904281158321 -2.31952043097932 -1.74405742917618 -0.497171682713386 1.59583261863574 2.9597743671253 3.11235850848133 3.17056997147936 -18.5506485010525 424.135017764528
AmySmith_2006.AS.words31 23.5 23.66 AmySmith_2006 AS AS 4.98500932748904 3.99907564624182 9.19618033467266 -2.85524758159102 7.04729189789805 -2.52305608613092 -2.02476884294077 -1.19429010429051 1.7870798743353 7.97677083630425 8.95449878395524 9.07533955931395 9.14784402452918 43.9730049273026 -1032.62848412458 4.01592586035032 4.15900629071999 8.1589838022464 -4.23300944045506 6.48688682248462 -3.91171603544096 -3.42977592791982 -2.62654241538459 0.273091884896168 7.27083857633197 7.86281179929891 8.01089780077265 8.0997494016569 52.7425620830748 -1240.52931700187
AmySmith_2006.AS.words32 23.66 23.88 AmySmith_2006 AS AS -2.59997305028817 5.95100757570937 3.92903115833813 -13.3871083472452 -0.833246735378129 -13.2378512190787 -13.0139655268289 -12.6049361021586 -7.17638318716493 2.7802078148693 3.74960615771142 3.8164232655482 3.88398800122216 58.7842073886536 -1399.980483543 -2.03651254845694 6.31958302639715 4.93522658453846 -13.3344958350706 0.00266602760332191 -13.1668481792765 -12.9153766955852 -12.5318896703977 -7.30360635520391 3.64401997753861 4.62770311874371 4.77664237267943 4.87179289979484 67.553764544426 -1607.8813164203
AmySmith_2006.AS.words33 23.88 24.01 AmySmith_2006 AS AS -7.51151949164777 7.25151404929322 2.36169719437385 -16.3678670892007 -6.93414523430544 -16.3209839672374 -16.2506592842924 -16.133451479384 -15.7543230947397 -0.576020835638566 2.27291089619536 2.3173040452846 2.34393993473815 -158.953498326556 3798.80747029024 -5.41551502084659 6.95802287319701 3.98091020816216 -13.9312972919618 -4.36784398605254 -13.8953122604445 -13.8413347131684 -13.7513721343751 -13.3957235516628 1.24753137401242 3.83763345775361 3.90927183295788 3.95225485808045 -150.183941170783 3590.90663741293
AmySmith_2006.AS.words34 24.01 24.58 AmySmith_2006 AS AS -4.85976354578604 8.99873036255348 6.81686464729302 -23.7653858500919 -4.11221460197832 -23.2922788995526 -22.8157642590281 -21.0459367983908 -12.4161120919941 3.80936164545439 6.595358998965 6.70939547620446 6.78400856596208 -35.6302397007579 860.799395086852 0.301328862955048 8.12986664152383 10.2294969775523 -16.2203361562864 1.31582033236395 -15.6981877987401 -15.3115824043952 -13.677981074333 -7.0191592454221 8.36413505211089 9.83088741884151 10.0092450677788 10.2133116518762 -26.8606825449854 652.898562209545
AmySmith_2006.AS.words35 24.58 24.71 AmySmith_2006 AS AS -10.971436219945 9.7140925356747 -0.307003298698767 -24.6600590087983 -7.01055104292399 -24.6016800513441 -24.5141116151627 -24.368164221527 -22.1902386964489 -2.14706595709274 -0.329583561856073 -0.31829343027742 -0.311519351330228 192.981697161718 -4767.03346690114 -2.74525587326397 9.98442193170553 8.09529091489824 -16.8425570538427 1.54608454072871 -16.7732800059424 -16.669364434092 -16.4961718143413 -14.5089628720683 6.41967971602602 8.0633807258255 8.07933582036187 8.08890887708369 201.75125431749 -4974.93429977845
AmySmith_2006.AS.words36 24.71 25.2 AmySmith_2006 AS AS -9.02654954057443 7.4555045255695 3.96678317472543 -20.6098670314549 -10.661483457497 -20.2934738160847 -19.9834507489063 -19.0544202619527 -14.9636148354258 -0.622403111507019 2.30738351199644 3.1576627634655 3.60065157922289 -31.56998195546 778.337995568973 1.78792728703359 6.86288833652887 13.5552248271575 -8.22878970223309 0.41194688007613 -7.87289090899614 -7.59556211315576 -6.57448565947813 -4.23328101308689 9.34066040000659 12.0748580025596 12.7529157224263 13.2285988095217 -22.8004247996875 570.437162691666
